Sample	Cluster	Ident	Comments
EG9	0	leukemic	IGLL1 pos
EG9	1	dividing leukemic	IGLL1 pos, MKI67 pos
EG9	2	leukemic	IGLL1 pos
EG9	3	dividing leukemic	IGLL1 pos, MKI67 pos
EG9	4	leukemic	IGLL1 pos
EG9	5	dividing leukemic	DNTT pos, MKI67 pos
EG9	6	leukemic	IGL11 pos
EG9	7	T-Cells, NK-Cells, mature-B	CD8 pos, GZ pos, MS4A1 pos
EG14	0	NK-cell	GZ pos
EG14	1	T-cell	CD8 pos
EG14	2	mature-B	MS4A1 pos
EG14	3	leukemic	IGLL1 pos, VPREB1 pos, DNTT pos
EG14	4	T-cell	CD3 pos, CD4 pos
EG14	5	T-cell	CD8 pos
EG14	6	blood-cell	HBB pos
EG14	7	HSC	CD34 pos
EG14	8	mixed-phenotype	LYZ pos, MME pos, MS4A1 pos, GZB pos
EG14	9	T-cell	CD3 pos, 
EG14	10	NK-cell	GZ pos
EG14	11	monocyte	LYZ pos
EG19	0	dividing	MKI67 pos
EG19	1	leukemic	IGLL1 pos, DNTT pos
EG19	2	leukemic	IGLL1 pos, DNTT pos
EG19	3	leukemic	IGLL1 pos, DNTT pos
EG19	4	leukemic	IGLL1 pos, DNTT pos
EG19	5	leukemic	IGLL1 pos, DNTT pos
EG19	6	dividing	MKI67 pos
EG19	7	mature-B	MS4A1 pos, PTPRC pos
EG19	8	NK-cell	GZ pos
EG19	9	monocyte	LYZ pos
EG19	10	T-cell	CD8 pos
EG19	11	NA	NA
EG19	12	NA	GATA2 pos
EG11	0	leukemic	DNTT pos
EG11	1	leukemic	IGLL1 pos, DNTT pos
EG11	2	leukemic	IGLL1 pos, DNTT pos
EG11	3	dividing	MKI67 pos
EG11	4	leukemic	IGLL1 pos, DNTT pos
EG11	5	T-cell	CD8 pos
EG11	6	T-cell, blood-cell, monocyte	CD3 pos, HB pos, LYZ pos
EG11	7	NK-cell	GZ pos
EG11	8	leukemic	DNTT pos
