Sample	Cluster	Ident	Comments
EG37	0	blood-cell prog	HB pos, MKI67
EG37	1	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG37	2	myeloid prog, HSC	KIT pos, MPO pos, CDK6 pos, CD34 pos
EG37	3	blood-cell	HB pos
EG37	4	blood-cell	HB pos
EG37	5	mature-B	MS4A1 pos
EG44	0	monocyte	LYZ pos, CD14 pos
EG44	1	monocyte	LYZ pos, CD14 pos
EG44	2	monocyte	LYZ pos, CD14 pos
EG44	3	leukemic	KIT pos, IGLL1 pos, MPO pos
EG44	4	monocyte	LYZ pos
EG44	5	monocyte	LYZ pos, FCER1A pos
EG44	6	monocyte	LYZ pos, CD14 pos
EG44	7	monocyte	LYZ pos, MPO pos
EG44	8	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG44	9	mature-B	MS4A1 pos
EG44	10	plasma-cell	MZB1 pos
EG44	11	myeloid	KIT pos
EG45	0	myeloid	MPO pos
EG45	1	myeloid	MPO pos
EG45	2	monocyte	LYZ pos, FCER1A pos, CD14 pos
EG45	3	myeloid	MPO pos
EG45	4	mature-B	MS4A1 pos, FCER1A pos
EG45	5	monocyte	LYZ pos, CD14 pos
EG45	6	myeloid	MPO pos
EG45	7	dividing leukemic	IGLL1 pos, MPO pos, MKI67 pos
EG45	8	myeloid	MPO pos
EG45	9	monocyte	LYZ pos, CD14 pos
EG45	10	monocyte	LYZ pos, MPO pos
EG45	11	monocyte	LYZ pos
EG45	12	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG45	13	dendritic	KIT pos, FCER1A pos
EG45	14	myeloid	MPO pos
EG45	15	leukemic	IGLL1 pos, MPO pos
