Sample	Cluster	Ident	Comments
EG34	0	T-cell	CD3 pos, CD4 pos
EG34	1	T-cell	CD3 pos, CD4 pos
EG34	2	T-cell	CD3 pos, CD4 pos
EG34	3	T-cell	CD3 pos, CD4 pos
EG34	4	T-cell	CD3 pos, CD4 pos
EG34	5	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG34	6	T-cell	CD3 pos, CD8 pos
EG34	7	mature-B	MS4A1 pos
EG34	8	blood-cell prog	HB pos, MKI67 pos
EG34	9	plasma-cell	MZB1 pos
EG34	10	monocyte	LYZ pos, CD14 pos
EG35	0	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG35	1	T-cell, NK-cell	CD3 pos, GZ pos
EG35	2	mature-B	MS4A1 pos
EG35	3	NK-cell	GZ pos
EG35	4	monocyte	LYZ pos, CD14 pos
EG35	5	T-cell	CD3 pos
EG35	6	monocyte	LYZ pos, CD14 pos
EG35	7	blood-cell prog	HB pos, MKI67 pos
EG35	8	mixed phenotype	LYZ pos, IGLL1 pos, VPREB1 pos, MPO pos, MKI67 pos
EG35	9	dendritic	LYZ pos, FCER1A pos
EG35	10	blood-cell	HB pos
EG35	11	mature-B	MS4A1 pos
EG35	12	NK-cell	GZB pos
EG36	0	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG36	1	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG36	2	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG36	3	NK-cell	GZ pos
EG36	4	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG36	5	monocyte	LYZ pos, CD14 pos
EG36	6	blood-cell prog	HB pos, MKI67 pos
EG36	7	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG36	8	blood-cell	HB pos
EG36	9	T-cell	CD3 pos
EG36	10	NA	DNTT pos
EG36	11	NK-cell	GZ pos
EG36	12	blood-cell	HB pos
EG36	13	blood-cell	HB pos
EG36	14	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG36	15	mature-B	MS4A1 pos
EG36	16	blood-cell	HB pos
