Sample	Cluster	Ident	Comments
EG46	0	T-cell	CD3 pos
EG46	1	T-cell	CD3 pos
EG46	2	T-cell	CD3 pos
EG46	3	T-cell	CD3 pos
EG46	4	T-cell	CD3 pos, CD8 pos
EG46	5	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG46	6	mature-B	MS4A1 pos
EG46	7	dividing leukemic	IGLL1 pos, MPO pos, MKI67 pos, CD34 pos
EG46	8	monocyte	LYZ pos, CD14 pos
EG46	9	blood-cell prog	HB pos, MKI67 pos
EG47	0	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG47	1	T-cell	CD3 pos
EG47	2	monocyte	LYZ pos, CD14 pos
EG47	3	NK-cell	GZ pos
EG47	4	T-cell	CD3 pos
EG47	5	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG47	6	mature-B	MS4A1 pos
EG47	7	mixed phenotype 	LYZ pos, FCER1A pos, MPO pos
EG47	8	mixed phenotype blood-cell, HSC	HB pos, CD34 pos
EG47	9	monocyte	LYZ pos
EG47	10	NA	NA
EG47	11	mixed phenotype mature-B, plasma-cell	MS4A1 pos, MZB1 pos
EG48	0	NA	NA
