Sample	Cluster	Ident	Comments
EG32	0	plasma-cell	MS4A1 pos, plasma-cell pos
EG32	1	plasma-cell	MS4A1 pos, plasma-cell pos
EG32	2	plasma-cell	MS4A1 pos, plasma-cell pos
EG32	3	plasma-cell	MS4A1 pos, plasma-cell pos
EG32	4	T-cell	CD3 pos, CD8 pos, CD4 pos
EG32	5	plasma-cell	MS4A1 pos, plasma-cell pos
EG32	6	T-cell, NK-cell	CD3 pos, CD8 pos, GZ pos
EG32	7	plasma-cell	plasma-cell pos
EG32	8	leukemic HSC	IGLL1 pos, MPO pos, CD34 pos
EG32	9	myeloid	MS4A1 pos
EG32	10	monocyte	LYZ pos, CD14 pos, CD4 pos
EG32	11	NA	NA
